Symbol,Name,Sector,Shares,Listed In
786,786 Investments Limited,INV. BANKS / INV. COS. / SECURITIES COS.,"14,973,750",ALLSHR
AABS,Al-Abbas Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,"17,362,300",ALLSHRKMIALLSHR
AATM,Ali Asghar Textile Mills Limited,TEXTILE SPINNING,"44,426,694",ALLSHR
ABL,Allied Bank Limited,COMMERCIAL BANKS,"1,145,073,830",ALLSHRKSE100KSE100PR
ABOT,Abbott Laboratories (Pakistan) Limited,PHARMACEUTICALS,"97,900,302",ALLSHRKMIALLSHRKSE100KSE100PRMII30
ACIETF,Alfalah Consumer Index (ETF),EXCHANGE TRADED FUNDS,"4,420,000",
ACPL,Attock Cement Pakistan Limited,CEMENT,"137,426,961",ALLSHR
ADAMS,Adam Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,"17,291,008",ALLSHRKMIALLSHR
ADMM,Artistic Denim Mills Limited,TEXTILE COMPOSITE,"84,000,000",ALLSHR
AGHA,Agha Steel Ind.Ltd,ENGINEERING,"604,879,058",ALLSHR
AGIC,Askari General Insurance Company Limited,INSURANCE,"71,901,898",ALLSHR
AGIL,Agriauto Industries Limited,AUTOMOBILE PARTS & ACCESSORIES,"36,000,000",ALLSHRKMIALLSHR
AGL,Agritech Limited,FERTILIZER,"599,084,224",ALLSHRKSE100KSE100PR
AGLNCPS,Agritech Non-Voting (Pref) Class A,CHEMICAL,"20,608",ALLSHR
AGP,AGP Limited,PHARMACEUTICALS,"280,000,000",ALLSHRKMIALLSHRKSE100KSE100PR
AGSML,Abdullah Shah Ghazi Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,"79,261,700",ALLSHRKMIALLSHR
AGTL,Al-Ghazi Tractors Limited,AUTOMOBILE ASSEMBLER,"57,964,201",ALLSHRKMIALLSHR
AHCL,Arif Habib Corporation Limited,FERTILIZER,"4,216,967,470",ALLSHR
AHL,Arif Habib Limited,INV. BANKS / INV. COS. / SECURITIES COS.,"65,340,000",ALLSHR
