Symbol,StockPrice,DividendYearsPaid,DivPerYearPattern,ConsistentPayer,YearlyYieldDetails,DividendAmountsPKR,ConsistencyScore,Remarks
786,9.19,"2008, 2007, 2006, 2004","1, 1, 1, 1",Yes,2008: 10.88% | 2007: 13.60% | 2006: 10.88% | 2004: 0.00%,2008: Rs.1.00 | 2007: Rs.1.25 | 2006: Rs.1.00 | 2004: Rs.0.00,100.0%,"Minor gap detected but overall consistent: 4 years with dividends, Pattern: 1 dividends per year"
AABS,1010.41,"2025, 2024, 2023, 2022","2, 3, 4, 1",Yes,2025: 3.66% | 2024: 4.95% | 2023: 5.54% | 2022: 2.97%,2025: Rs.37.00 | 2024: Rs.50.00 | 2023: Rs.56.00 | 2022: Rs.30.00,100.0%,Perfect consistency: 3 consecutive years
AATM,46.55,"2007, 2005","1, 1",Yes,2007: 3.44% | 2005: 0.00%,2007: Rs.1.60 | 2005: Rs.0.00,100.0%,"Minor gap detected but overall consistent: 2 years with dividends, Pattern: 1 dividends per year"
ABL,184.42,"2025, 2024, 2023, 2022","1, 4, 4, 1",Yes,2025: 2.17% | 2024: 6.51% | 2023: 6.51% | 2022: 1.36%,2025: Rs.4.00 | 2024: Rs.12.00 | 2023: Rs.12.00 | 2022: Rs.2.50,100.0%,Perfect consistency: 3 consecutive years
ABOT,1110.03,"2024, 2022, 2021, 2020, 2019, 2018, 2017","1, 1, 2, 2, 1, 2, 1",Yes,2024: 0.90% | 2022: 1.35% | 2021: 3.60% | 2020: 3.60% | 2019: 0.68% | 2018: 1.80% | 2017: 2.70%,2024: Rs.10.00 | 2022: Rs.15.00 | 2021: Rs.40.00 | 2020: Rs.40.00 | 2019: Rs.7.50 | 2018: Rs.20.00 | 2017: Rs.30.00,100.0%,Minor gap detected but overall consistent: 7 years with dividends
ACPL,293.52,"2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016","2, 1, 2, 1, 1, 1, 1, 1",Yes,2023: 2.90% | 2022: 0.51% | 2021: 2.04% | 2020: 1.19% | 2019: 1.36% | 2018: 2.73% | 2017: 4.60% | 2016: 4.26%,2023: Rs.8.50 | 2022: Rs.1.50 | 2021: Rs.6.00 | 2020: Rs.3.50 | 2019: Rs.4.00 | 2018: Rs.8.00 | 2017: Rs.13.50 | 2016: Rs.12.50,100.0%,Perfect consistency: 8 consecutive years
ADAMS,70.82,"2024, 2023, 2022, 2021, 2020, 2016, 2013, 2012, 2011","1, 2, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 2.12% | 2023: 7.06% | 2022: 3.53% | 2021: 2.82% | 2020: 5.65% | 2016: 4.94% | 2013: 3.53% | 2012: 3.53% | 2011: 3.53%,2024: Rs.1.50 | 2023: Rs.5.00 | 2022: Rs.2.50 | 2021: Rs.2.00 | 2020: Rs.4.00 | 2016: Rs.3.50 | 2013: Rs.2.50 | 2012: Rs.2.50 | 2011: Rs.2.50,100.0%,High consistency (100.0%): 9 years with dividends
ADMM,60.0,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 1.67% | 2023: 5.83% | 2022: 3.33% | 2021: 3.33% | 2020: 5.00% | 2019: 5.00% | 2018: 4.17% | 2017: 3.50% | 2016: 3.33% | 2015: 6.67%,2024: Rs.1.00 | 2023: Rs.3.50 | 2022: Rs.2.00 | 2021: Rs.2.00 | 2020: Rs.3.00 | 2019: Rs.3.00 | 2018: Rs.2.50 | 2017: Rs.2.10 | 2016: Rs.2.00 | 2015: Rs.4.00,100.0%,"Perfect consistency: 10 consecutive years, Pattern: 1 dividends per year"
AGIC,42.31,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017","2, 1, 1, 1, 1, 1, 1, 2",Yes,2024: 10.64% | 2023: 7.68% | 2022: 6.85% | 2021: 6.50% | 2020: 6.50% | 2019: 5.91% | 2018: 3.55% | 2017: 5.91%,2024: Rs.4.50 | 2023: Rs.3.25 | 2022: Rs.2.90 | 2021: Rs.2.75 | 2020: Rs.2.75 | 2019: Rs.2.50 | 2018: Rs.1.50 | 2017: Rs.2.50,100.0%,Perfect consistency: 8 consecutive years
AGIL,146.62,"2022, 2021, 2020, 2019, 2018, 2017, 2016","1, 1, 2, 1, 2, 2, 1",Yes,2022: 1.71% | 2021: 8.18% | 2020: 8.18% | 2019: 9.55% | 2018: 15.69% | 2017: 15.69% | 2016: 3.41%,2022: Rs.2.50 | 2021: Rs.12.00 | 2020: Rs.12.00 | 2019: Rs.14.00 | 2018: Rs.23.00 | 2017: Rs.23.00 | 2016: Rs.5.00,100.0%,Perfect consistency: 7 consecutive years
