Symbol,StockPrice,DividendYearsPaid,DivPerYearPattern,ConsistentPayer,YearlyYieldDetails,DividendAmountsPKR,ConsistencyScore,Remarks,ExpectedDividend2025_PKR,ExpectedDividend2025_Percent,CalculationMethod
ARPL,452.0,"2025, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015","1, 2, 1, 1, 1, 1, 1, 1, 1",Yes,2025: 4.42% | 2022: 9.96% | 2021: 19.91% | 2020: 6.64% | 2019: 9.96% | 2018: 8.85% | 2017: 11.06% | 2016: 13.27% | 2015: 5.53%,2025: Rs.20.00 | 2022: Rs.45.00 | 2021: Rs.90.00 | 2020: Rs.30.00 | 2019: Rs.45.00 | 2018: Rs.40.00 | 2017: Rs.50.00 | 2016: Rs.60.00 | 2015: Rs.25.00,100.0%,Perfect consistency: 8 consecutive years,Rs.27.10,6.00%,Growth trend
BERG,110.0,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 3.64% | 2023: 1.82% | 2022: 3.64% | 2021: 3.64% | 2020: 0.91% | 2019: 0.91% | 2018: 1.14% | 2017: 4.09% | 2016: 4.09% | 2015: 0.91%,2024: Rs.4.00 | 2023: Rs.2.00 | 2022: Rs.4.00 | 2021: Rs.4.00 | 2020: Rs.1.00 | 2019: Rs.1.00 | 2018: Rs.1.25 | 2017: Rs.4.50 | 2016: Rs.4.50 | 2015: Rs.1.00,100.0%,"Perfect consistency: 10 consecutive years, Pattern: 1 dividends per year",Rs.1.20,1.09%,Growth trend
BIFO,192.93,"2025, 2024, 2023, 2022, 2021, 2020","1, 2, 2, 1, 3, 1",Yes,2025: 0.78% | 2024: 2.38% | 2023: 2.75% | 2022: 1.19% | 2021: 2.59% | 2020: 1.04%,2025: Rs.1.50 | 2024: Rs.4.60 | 2023: Rs.5.30 | 2022: Rs.2.30 | 2021: Rs.5.00 | 2020: Rs.2.00,100.0%,Perfect consistency: 5 consecutive years,Rs.2.08,1.08%,Growth trend
DOL,34.25,"2024, 2023, 2022, 2021, 2020, 2018, 2012","2, 1, 2, 1, 1, 2, 1",Yes,2024: 11.68% | 2023: 5.84% | 2022: 11.68% | 2021: 2.92% | 2020: 2.92% | 2018: 6.42% | 2012: 29.20%,2024: Rs.4.00 | 2023: Rs.2.00 | 2022: Rs.4.00 | 2021: Rs.1.00 | 2020: Rs.1.00 | 2018: Rs.2.20 | 2012: Rs.10.00,100.0%,High consistency (100.0%): 7 years with dividends,Rs.17.49,51.07%,Growth trend
DYNO,293.89,"2024, 2023, 2022, 2021, 2020, 2019, 2018","2, 2, 1, 1, 2, 1, 1",Yes,2024: 10.21% | 2023: 11.91% | 2022: 5.10% | 2021: 3.40% | 2020: 5.10% | 2019: 1.70% | 2018: 4.42%,2024: Rs.30.00 | 2023: Rs.35.00 | 2022: Rs.15.00 | 2021: Rs.10.00 | 2020: Rs.15.00 | 2019: Rs.5.00 | 2018: Rs.13.00,100.0%,Perfect consistency: 7 consecutive years,Rs.14.51,4.94%,Growth trend
GCIL,27.3,"2024, 2022","1, 1",Yes,2024: 2.20% | 2022: 3.66%,2024: Rs.0.60 | 2022: Rs.1.00,100.0%,"Minor gap detected but overall consistent: 2 years with dividends, Pattern: 1 dividends per year",Rs.0.80,2.93%,Average of last 2 years
ICL,93.0,"2024, 2023, 2022","3, 3, 4",Yes,2024: 4.84% | 2023: 3.49% | 2022: 4.30%,2024: Rs.4.50 | 2023: Rs.3.25 | 2022: Rs.4.00,100.0%,Perfect consistency: 3 consecutive years,Rs.3.91,4.20%,Growth trend
LCI,362.5,"2025, 2024, 2023, 2022","1, 2, 2, 2",Yes,2025: 8.55% | 2024: 18.48% | 2023: 16.55% | 2022: 6.90%,2025: Rs.31.00 | 2024: Rs.67.00 | 2023: Rs.60.00 | 2022: Rs.25.00,100.0%,"Perfect consistency: 3 consecutive years, Pattern: 2 dividends per year",Rs.16.40,4.52%,Growth trend
LOTCHEM,21.14,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017","1, 2, 2, 1, 1, 1, 1, 1",Yes,2024: 2.37% | 2023: 14.19% | 2022: 28.38% | 2021: 7.10% | 2020: 3.55% | 2019: 7.10% | 2018: 7.10% | 2017: 0.95%,2024: Rs.0.50 | 2023: Rs.3.00 | 2022: Rs.6.00 | 2021: Rs.1.50 | 2020: Rs.0.75 | 2019: Rs.1.50 | 2018: Rs.1.50 | 2017: Rs.0.20,100.0%,Perfect consistency: 8 consecutive years,Rs.0.34,1.61%,Growth trend
NICL,176.25,"2025, 2024, 2023, 2022, 2021, 2020, 2019","1, 2, 2, 1, 1, 2, 1",Yes,2025: 0.85% | 2024: 1.99% | 2023: 1.70% | 2022: 0.85% | 2021: 1.13% | 2020: 1.99% | 2019: 0.85%,2025: Rs.1.50 | 2024: Rs.3.50 | 2023: Rs.3.00 | 2022: Rs.1.50 | 2021: Rs.2.00 | 2020: Rs.3.50 | 2019: Rs.1.50,100.0%,Perfect consistency: 6 consecutive years,Rs.1.46,0.83%,Growth trend
SITC,631.9,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 1.58% | 2023: 1.58% | 2022: 1.27% | 2021: 1.58% | 2020: 1.58% | 2019: 1.58% | 2018: 2.06% | 2017: 1.98% | 2016: 1.82% | 2015: 1.42%,2024: Rs.10.00 | 2023: Rs.10.00 | 2022: Rs.8.00 | 2021: Rs.10.00 | 2020: Rs.10.00 | 2019: Rs.10.00 | 2018: Rs.13.00 | 2017: Rs.12.50 | 2016: Rs.11.50 | 2015: Rs.9.00,100.0%,"Perfect consistency: 10 consecutive years, Pattern: 1 dividends per year",Rs.9.01,1.43%,Growth trend
WAHN,391.0,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 2.56% | 2023: 2.56% | 2022: 1.28% | 2021: 2.56% | 2020: 1.02% | 2019: 1.02% | 2018: 1.28% | 2017: 1.53% | 2016: 1.02% | 2015: 0.26%,2024: Rs.10.00 | 2023: Rs.10.00 | 2022: Rs.5.00 | 2021: Rs.10.00 | 2020: Rs.4.00 | 2019: Rs.4.00 | 2018: Rs.5.00 | 2017: Rs.6.00 | 2016: Rs.4.00 | 2015: Rs.1.00,100.0%,"Perfect consistency: 10 consecutive years, Pattern: 1 dividends per year",Rs.0.92,0.23%,Growth trend
