Symbol,StockPrice,DividendYearsPaid,DivPerYearPattern,ConsistentPayer,YearlyYieldDetails,DividendAmountsPKR,ConsistencyScore,Remarks,ExpectedDividend2025_PKR,ExpectedDividend2025_Percent,CalculationMethod
COLG,1324.0,"2024, 2023, 2022, 2021, 2020","2, 3, 2, 2, 1",Yes,2024: 5.02% | 2023: 5.10% | 2022: 3.63% | 2021: 3.66% | 2020: 1.89%,2024: Rs.66.50 | 2023: Rs.67.50 | 2022: Rs.48.00 | 2021: Rs.48.50 | 2020: Rs.25.00,100.0%,Perfect consistency: 5 consecutive years,Rs.20.33,1.54%,Growth trend
GIL,1000.0,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 0.30% | 2023: 0.30% | 2022: 0.30% | 2021: 0.30% | 2020: 0.33% | 2019: 0.34% | 2018: 0.34% | 2017: 0.34% | 2016: 0.18% | 2015: 0.50%,2024: Rs.3.00 | 2023: Rs.3.00 | 2022: Rs.3.00 | 2021: Rs.3.00 | 2020: Rs.3.30 | 2019: Rs.3.35 | 2018: Rs.3.40 | 2017: Rs.3.36 | 2016: Rs.1.75 | 2015: Rs.5.00,100.0%,"Perfect consistency: 10 consecutive years, Pattern: 1 dividends per year",Rs.5.83,0.58%,Growth trend
ISIL,2090.01,"2024, 2023, 2022, 2021, 2020, 2019, 2018","1, 2, 1, 1, 2, 2, 1",Yes,2024: 0.48% | 2023: 0.57% | 2022: 0.19% | 2021: 0.72% | 2020: 0.16% | 2019: 0.17% | 2018: 0.22%,2024: Rs.10.00 | 2023: Rs.12.00 | 2022: Rs.4.00 | 2021: Rs.15.00 | 2020: Rs.3.40 | 2019: Rs.3.50 | 2018: Rs.4.50,100.0%,Perfect consistency: 7 consecutive years,Rs.5.87,0.28%,Growth trend
MUREB,930.0,"2025, 2024, 2023, 2022","1, 4, 3, 2",Yes,2025: 1.08% | 2024: 4.52% | 2023: 2.20% | 2022: 1.61%,2025: Rs.10.00 | 2024: Rs.42.00 | 2023: Rs.20.50 | 2022: Rs.15.00,100.0%,Perfect consistency: 3 consecutive years,Rs.9.15,0.98%,Growth trend
NATF,349.5,"2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018","1, 2, 2, 1, 1, 1, 1, 1",Yes,2025: 1.14% | 2024: 4.01% | 2023: 2.29% | 2022: 2.86% | 2021: 2.86% | 2020: 2.86% | 2019: 2.29% | 2018: 2.15%,2025: Rs.4.00 | 2024: Rs.14.00 | 2023: Rs.8.00 | 2022: Rs.10.00 | 2021: Rs.10.00 | 2020: Rs.10.00 | 2019: Rs.8.00 | 2018: Rs.7.50,100.0%,Perfect consistency: 7 consecutive years,Rs.6.95,1.99%,Growth trend
NESTLE,8915.17,"2025, 2024, 2023, 2022","1, 3, 3, 3",Yes,2025: 2.50% | 2024: 1.86% | 2023: 2.16% | 2022: 2.80%,2025: Rs.223.00 | 2024: Rs.166.00 | 2023: Rs.193.00 | 2022: Rs.250.00,100.0%,"Perfect consistency: 3 consecutive years, Pattern: 3 dividends per year",Rs.307.25,3.45%,Growth trend
RMPL,9680.0,"2025, 2024, 2023, 2022","1, 4, 4, 1",Yes,2025: 1.03% | 2024: 3.87% | 2023: 3.62% | 2022: 0.77%,2025: Rs.100.00 | 2024: Rs.375.00 | 2023: Rs.350.00 | 2022: Rs.75.00,100.0%,Perfect consistency: 3 consecutive years,Rs.43.04,0.44%,Growth trend
TOMCL,37.82,"2024, 2023, 2022, 2021, 2020","1, 2, 1, 1, 1",Yes,2024: 5.34% | 2023: 5.29% | 2022: 2.58% | 2021: 2.64% | 2020: 5.29%,2024: Rs.2.02 | 2023: Rs.2.00 | 2022: Rs.0.97 | 2021: Rs.1.00 | 2020: Rs.2.00,100.0%,Perfect consistency: 5 consecutive years,Rs.2.25,5.95%,Growth trend
UPFL,33000.0,"2025, 2024, 2023, 2022, 2021","1, 4, 3, 1, 1",Yes,2025: 1.59% | 2024: 5.69% | 2023: 1.30% | 2022: 0.87% | 2021: 0.74%,2025: Rs.525.00 | 2024: Rs.1877.00 | 2023: Rs.429.00 | 2022: Rs.287.00 | 2021: Rs.245.00,100.0%,Perfect consistency: 4 consecutive years,Rs.143.02,0.43%,Growth trend
ZIL,332.01,"2024, 2023, 2020, 2019, 2018, 2017, 2016, 2013, 2012","1, 1, 1, 1, 1, 1, 1, 1, 2",Yes,2024: 0.75% | 2023: 0.60% | 2020: 0.38% | 2019: 1.05% | 2018: 0.45% | 2017: 0.38% | 2016: 0.15% | 2013: 0.45% | 2012: 1.36%,2024: Rs.2.50 | 2023: Rs.2.00 | 2020: Rs.1.25 | 2019: Rs.3.50 | 2018: Rs.1.50 | 2017: Rs.1.25 | 2016: Rs.0.50 | 2013: Rs.1.50 | 2012: Rs.4.50,100.0%,High consistency (100.0%): 9 years with dividends,Rs.6.69,2.01%,Growth trend
