Symbol,StockPrice,DividendYearsPaid,DivPerYearPattern,ConsistentPayer,YearlyYieldDetails,DividendAmountsPKR,ConsistencyScore,Remarks,ExpectedDividend2025_PKR,ExpectedDividend2025_Percent,CalculationMethod
AGIC,43.5,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017","2, 1, 1, 1, 1, 1, 1, 2",Yes,2024: 10.34% | 2023: 7.47% | 2022: 6.67% | 2021: 6.32% | 2020: 6.32% | 2019: 5.75% | 2018: 3.45% | 2017: 5.75%,2024: Rs.4.50 | 2023: Rs.3.25 | 2022: Rs.2.90 | 2021: Rs.2.75 | 2020: Rs.2.75 | 2019: Rs.2.50 | 2018: Rs.1.50 | 2017: Rs.2.50,100.0%,Perfect consistency: 8 consecutive years,Rs.2.41,5.53%,Growth trend
AICL,71.95,"2024, 2023, 2022, 2021, 2020","2, 2, 2, 2, 2",Yes,2024: 4.17% | 2023: 4.17% | 2022: 4.17% | 2021: 4.17% | 2020: 3.47%,2024: Rs.3.00 | 2023: Rs.3.00 | 2022: Rs.3.00 | 2021: Rs.3.00 | 2020: Rs.2.50,100.0%,"Perfect consistency: 5 consecutive years, Pattern: 2 dividends per year",Rs.2.40,3.33%,Growth trend
ALIFE,35.0,"2025, 2024, 2023","1, 1, 2",Yes,2025: 1.43% | 2024: 2.86% | 2023: 5.71%,2025: Rs.0.50 | 2024: Rs.1.00 | 2023: Rs.2.00,100.0%,Perfect consistency: 2 consecutive years,Rs.1.50,4.29%,Average of last 2 years
ATIL,82.02,"2024, 2023, 2022, 2021, 2020","2, 3, 2, 2, 1",Yes,2024: 7.32% | 2023: 12.92% | 2022: 8.53% | 2021: 8.53% | 2020: 8.53%,2024: Rs.6.00 | 2023: Rs.10.60 | 2022: Rs.7.00 | 2021: Rs.7.00 | 2020: Rs.7.00,100.0%,Perfect consistency: 5 consecutive years,Rs.7.75,9.45%,Growth trend
CENI,47.52,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 12.63% | 2023: 9.47% | 2022: 5.26% | 2021: 4.73% | 2020: 4.21% | 2019: 3.68% | 2018: 2.63% | 2017: 3.68% | 2016: 3.68% | 2015: 10.52%,2024: Rs.6.00 | 2023: Rs.4.50 | 2022: Rs.2.50 | 2021: Rs.2.25 | 2020: Rs.2.00 | 2019: Rs.1.75 | 2018: Rs.1.25 | 2017: Rs.1.75 | 2016: Rs.1.75 | 2015: Rs.5.00,100.0%,"Perfect consistency: 10 consecutive years, Pattern: 1 dividends per year",Rs.5.52,11.62%,Growth trend
EFUG,132.5,"2025, 2024, 2023, 2022","1, 3, 4, 2",Yes,2025: 1.13% | 2024: 6.42% | 2023: 7.55% | 2022: 5.28%,2025: Rs.1.50 | 2024: Rs.8.50 | 2023: Rs.10.00 | 2022: Rs.7.00,100.0%,Perfect consistency: 3 consecutive years,Rs.6.57,4.96%,Growth trend
EFUL,160.5,"2025, 2024, 2023, 2022","1, 4, 4, 1",Yes,2025: 0.93% | 2024: 9.35% | 2023: 9.35% | 2022: 6.54%,2025: Rs.1.50 | 2024: Rs.15.00 | 2023: Rs.15.00 | 2022: Rs.10.50,100.0%,Perfect consistency: 3 consecutive years,Rs.8.93,5.56%,Growth trend
EWIC,57.29,"2024, 2022, 2021, 2020, 2019, 2018, 2016, 2015","2, 2, 1, 1, 1, 1, 1, 1",Yes,2024: 4.36% | 2022: 3.05% | 2021: 2.62% | 2020: 2.62% | 2019: 3.49% | 2018: 4.36% | 2016: 2.18% | 2015: 2.18%,2024: Rs.2.50 | 2022: Rs.1.75 | 2021: Rs.1.50 | 2020: Rs.1.50 | 2019: Rs.2.00 | 2018: Rs.2.50 | 2016: Rs.1.25 | 2015: Rs.1.25,100.0%,High consistency (100.0%): 8 years with dividends,Rs.1.19,2.07%,Growth trend
HICL,15.0,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 13.33% | 2023: 8.33% | 2022: 8.33% | 2021: 8.33% | 2020: 6.67% | 2019: 6.67% | 2018: 10.00% | 2017: 10.00% | 2016: 23.33% | 2015: 23.33%,2024: Rs.2.00 | 2023: Rs.1.25 | 2022: Rs.1.25 | 2021: Rs.1.25 | 2020: Rs.1.00 | 2019: Rs.1.00 | 2018: Rs.1.50 | 2017: Rs.1.50 | 2016: Rs.3.50 | 2015: Rs.3.50,100.0%,"Perfect consistency: 10 consecutive years, Pattern: 1 dividends per year",Rs.3.99,26.60%,Growth trend
IGIHL,285.0,"2024, 2023, 2022, 2021, 2020, 2019","2, 2, 2, 2, 1, 1",Yes,2024: 2.11% | 2023: 2.11% | 2022: 1.49% | 2021: 1.93% | 2020: 1.75% | 2019: 1.05%,2024: Rs.6.00 | 2023: Rs.6.00 | 2022: Rs.4.25 | 2021: Rs.5.50 | 2020: Rs.5.00 | 2019: Rs.3.00,100.0%,Perfect consistency: 6 consecutive years,Rs.2.71,0.95%,Growth trend
