Symbol,StockPrice,DividendYearsPaid,DivPerYearPattern,ConsistentPayer,YearlyYieldDetails,DividendAmountsPKR,ConsistencyScore,Remarks,ExpectedDividend2025_PKR,ExpectedDividend2025_Percent,CalculationMethod
ALTN,11.35,"2025, 2024, 2023, 2021, 2019","1, 4, 1, 1, 3",Yes,2025: 85.46% | 2024: 120.26% | 2023: 41.41% | 2021: 163.00% | 2019: 49.78%,2025: Rs.9.70 | 2024: Rs.13.65 | 2023: Rs.4.70 | 2021: Rs.18.50 | 2019: Rs.5.65,100.0%,High consistency (100.0%): 4 years with dividends,Rs.8.64,76.09%,Growth trend
EPQL,31.2,"2025, 2024, 2023, 2022, 2021","2, 2, 3, 2, 1",Yes,2025: 32.05% | 2024: 19.23% | 2023: 9.62% | 2022: 25.64% | 2021: 19.23%,2025: Rs.10.00 | 2024: Rs.6.00 | 2023: Rs.3.00 | 2022: Rs.8.00 | 2021: Rs.6.00,100.0%,Perfect consistency: 4 consecutive years,Rs.7.83,25.11%,Growth trend
HUBC,164.8,"2024, 2023, 2022","3, 4, 3",Yes,2024: 9.71% | 2023: 10.77% | 2022: 16.84%,2024: Rs.16.00 | 2023: Rs.17.75 | 2022: Rs.27.75,100.0%,Perfect consistency: 3 consecutive years,Rs.37.08,22.50%,Growth trend
KAPCO,34.49,"2024, 2023, 2022, 2021, 2020","2, 2, 3, 2, 1",Yes,2024: 24.64% | 2023: 27.54% | 2022: 33.34% | 2021: 24.64% | 2020: 4.35%,2024: Rs.8.50 | 2023: Rs.9.50 | 2022: Rs.11.50 | 2021: Rs.8.50 | 2020: Rs.1.50,100.0%,Perfect consistency: 5 consecutive years,Rs.1.22,3.53%,Growth trend
KOHE,21.36,"2024, 2023, 2022, 2021","3, 2, 2, 3",Yes,2024: 81.93% | 2023: 28.09% | 2022: 21.07% | 2021: 60.86%,2024: Rs.17.50 | 2023: Rs.6.00 | 2022: Rs.4.50 | 2021: Rs.13.00,100.0%,Perfect consistency: 4 consecutive years,Rs.17.25,80.78%,Growth trend
LPL,27.95,"2024, 2023, 2022, 2021, 2020","2, 1, 2, 2, 3",Yes,2024: 14.31% | 2023: 53.67% | 2022: 12.52% | 2021: 7.16% | 2020: 11.63%,2024: Rs.4.00 | 2023: Rs.15.00 | 2022: Rs.3.50 | 2021: Rs.2.00 | 2020: Rs.3.25,100.0%,Perfect consistency: 5 consecutive years,Rs.5.02,17.96%,Growth trend
NCPL,26.41,"2025, 2024, 2022, 2019, 2018, 2017, 2016","1, 1, 1, 1, 2, 1, 3",Yes,2025: 7.57% | 2024: 18.93% | 2022: 37.86% | 2019: 3.79% | 2018: 9.47% | 2017: 3.79% | 2016: 17.99%,2025: Rs.2.00 | 2024: Rs.5.00 | 2022: Rs.10.00 | 2019: Rs.1.00 | 2018: Rs.2.50 | 2017: Rs.1.00 | 2016: Rs.4.75,100.0%,High consistency (100.0%): 6 years with dividends,Rs.9.26,35.07%,Growth trend
NPL,37.2,"2025, 2024, 2023, 2022, 2021","1, 3, 2, 3, 1",Yes,2025: 5.38% | 2024: 24.19% | 2023: 14.78% | 2022: 17.47% | 2021: 5.38%,2025: Rs.2.00 | 2024: Rs.9.00 | 2023: Rs.5.50 | 2022: Rs.6.50 | 2021: Rs.2.00,100.0%,Perfect consistency: 4 consecutive years,Rs.1.40,3.76%,Growth trend
PKGP,139.5,"2025, 2024, 2023, 2022, 2021, 2020","1, 3, 1, 2, 2, 1",Yes,2025: 1.43% | 2024: 5.02% | 2023: 10.75% | 2022: 2.51% | 2021: 1.43% | 2020: 0.72%,2025: Rs.2.00 | 2024: Rs.7.00 | 2023: Rs.15.00 | 2022: Rs.3.50 | 2021: Rs.2.00 | 2020: Rs.1.00,100.0%,Perfect consistency: 5 consecutive years,Rs.0.86,0.62%,Growth trend
SPWL,11.57,"2024, 2023, 2022, 2021","1, 3, 4, 2",Yes,2024: 10.80% | 2023: 37.08% | 2022: 116.68% | 2021: 25.93%,2024: Rs.1.25 | 2023: Rs.4.29 | 2022: Rs.13.50 | 2021: Rs.3.00,100.0%,Perfect consistency: 4 consecutive years,Rs.6.80,58.78%,Growth trend
