Symbol,StockPrice,DividendYearsPaid,DivPerYearPattern,ConsistentPayer,YearlyYieldDetails,DividendAmountsPKR,ConsistencyScore,Remarks,ExpectedDividend2025_PKR,ExpectedDividend2025_Percent,CalculationMethod
ADMM,60.3,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 1.66% | 2023: 5.80% | 2022: 3.32% | 2021: 3.32% | 2020: 4.98% | 2019: 4.98% | 2018: 4.15% | 2017: 3.48% | 2016: 3.32% | 2015: 6.63%,2024: Rs.1.00 | 2023: Rs.3.50 | 2022: Rs.2.00 | 2021: Rs.2.00 | 2020: Rs.3.00 | 2019: Rs.3.00 | 2018: Rs.2.50 | 2017: Rs.2.10 | 2016: Rs.2.00 | 2015: Rs.4.00,100.0%,"Perfect consistency: 10 consecutive years, Pattern: 1 dividends per year",Rs.5.42,8.99%,Growth trend
HAFL,398.9,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 0.63% | 2023: 0.50% | 2022: 0.50% | 2021: 0.50% | 2020: 0.50% | 2019: 0.38% | 2018: 0.44% | 2017: 0.38% | 2016: 0.38% | 2015: 0.38%,2024: Rs.2.50 | 2023: Rs.2.00 | 2022: Rs.2.00 | 2021: Rs.2.00 | 2020: Rs.2.00 | 2019: Rs.1.50 | 2018: Rs.1.75 | 2017: Rs.1.50 | 2016: Rs.1.50 | 2015: Rs.1.50,100.0%,"Perfect consistency: 10 consecutive years, Pattern: 1 dividends per year",Rs.1.43,0.36%,Growth trend
ILP,73.78,"2024, 2023, 2022, 2021, 2020, 2019","1, 3, 1, 2, 2, 1",Yes,2024: 3.39% | 2023: 9.49% | 2022: 2.71% | 2021: 4.07% | 2020: 3.39% | 2019: 1.36%,2024: Rs.2.50 | 2023: Rs.7.00 | 2022: Rs.2.00 | 2021: Rs.3.00 | 2020: Rs.2.50 | 2019: Rs.1.00,100.0%,Perfect consistency: 6 consecutive years,Rs.1.16,1.58%,Growth trend
INKL,34.5,"2024, 2023, 2022, 2020, 2019, 2018, 2016, 2015, 2012, 2010","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 2.17% | 2023: 2.90% | 2022: 2.17% | 2020: 1.45% | 2019: 1.45% | 2018: 1.45% | 2016: 2.90% | 2015: 2.90% | 2012: 1.45% | 2010: 1.74%,2024: Rs.0.75 | 2023: Rs.1.00 | 2022: Rs.0.75 | 2020: Rs.0.50 | 2019: Rs.0.50 | 2018: Rs.0.50 | 2016: Rs.1.00 | 2015: Rs.1.00 | 2012: Rs.0.50 | 2010: Rs.0.60,100.0%,"High consistency (100.0%): 10 years with dividends, Pattern: 1 dividends per year",Rs.0.63,1.83%,Growth trend
NCL,49.5,"2024, 2022, 2021, 2020, 2019, 2018, 2017, 2016","1, 1, 2, 1, 1, 2, 1, 1",Yes,2024: 2.02% | 2022: 8.08% | 2021: 16.16% | 2020: 2.02% | 2019: 5.05% | 2018: 11.11% | 2017: 5.56% | 2016: 5.05%,2024: Rs.1.00 | 2022: Rs.4.00 | 2021: Rs.8.00 | 2020: Rs.1.00 | 2019: Rs.2.50 | 2018: Rs.5.50 | 2017: Rs.2.75 | 2016: Rs.2.50,100.0%,Minor gap detected but overall consistent: 8 years with dividends,Rs.4.37,8.83%,Growth trend
NML,146.65,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016","1, 1, 1, 1, 1, 1, 1, 1, 2",Yes,2024: 2.05% | 2023: 3.41% | 2022: 2.73% | 2021: 2.73% | 2020: 2.73% | 2019: 2.73% | 2018: 3.24% | 2017: 3.41% | 2016: 6.82%,2024: Rs.3.00 | 2023: Rs.5.00 | 2022: Rs.4.00 | 2021: Rs.4.00 | 2020: Rs.4.00 | 2019: Rs.4.00 | 2018: Rs.4.75 | 2017: Rs.5.00 | 2016: Rs.10.00,100.0%,Perfect consistency: 9 consecutive years,Rs.12.13,8.27%,Growth trend
SAPT,1344.99,"2024, 2023, 2022, 2021, 2019, 2018, 2017, 2016, 2015","2, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 2.64% | 2023: 0.74% | 2022: 0.74% | 2021: 1.12% | 2019: 1.93% | 2018: 1.19% | 2017: 1.04% | 2016: 1.04% | 2015: 0.74%,2024: Rs.35.50 | 2023: Rs.10.00 | 2022: Rs.10.00 | 2021: Rs.15.00 | 2019: Rs.26.00 | 2018: Rs.16.00 | 2017: Rs.14.00 | 2016: Rs.14.00 | 2015: Rs.10.00,100.0%,Minor gap detected but overall consistent: 9 years with dividends,Rs.9.65,0.72%,Growth trend
SFL,1090.0,"2024, 2023, 2022, 2021, 2019, 2018, 2017, 2016, 2015","1, 1, 1, 1, 1, 1, 2, 1, 1",Yes,2024: 0.92% | 2023: 0.92% | 2022: 0.92% | 2021: 0.92% | 2019: 0.73% | 2018: 1.10% | 2017: 0.60% | 2016: 1.28% | 2015: 0.92%,2024: Rs.10.00 | 2023: Rs.10.00 | 2022: Rs.10.00 | 2021: Rs.10.00 | 2019: Rs.8.00 | 2018: Rs.12.00 | 2017: Rs.6.50 | 2016: Rs.14.00 | 2015: Rs.10.00,100.0%,Minor gap detected but overall consistent: 9 years with dividends,Rs.10.89,1.00%,Growth trend
STYLERS,51.13,"2025, 2024, 2023","1, 2, 1",Yes,2025: 0.49% | 2024: 3.87% | 2023: 1.96%,2025: Rs.0.25 | 2024: Rs.1.98 | 2023: Rs.1.00,100.0%,Perfect consistency: 2 consecutive years,Rs.1.49,2.91%,Average of last 2 years
SURC,131.0,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 3.82% | 2023: 0.76% | 2022: 3.05% | 2021: 7.63% | 2020: 3.05% | 2019: 3.82% | 2018: 3.05% | 2017: 2.29% | 2016: 3.05% | 2015: 3.82%,2024: Rs.5.00 | 2023: Rs.1.00 | 2022: Rs.4.00 | 2021: Rs.10.00 | 2020: Rs.4.00 | 2019: Rs.5.00 | 2018: Rs.4.00 | 2017: Rs.3.00 | 2016: Rs.4.00 | 2015: Rs.5.00,100.0%,"Perfect consistency: 10 consecutive years, Pattern: 1 dividends per year",Rs.6.94,5.29%,Growth trend
