Symbol,Name,Sector,Shares,Listed In
AGTL,Al-Ghazi Tractors Limited,AUTOMOBILE ASSEMBLER,"57,964,201",ALLSHRKMIALLSHR
ATLH,Atlas Honda Limited,AUTOMOBILE ASSEMBLER,"124,087,935",ALLSHRKSE100KSE100PR
DFML,Dewan Farooque Motors Limited,AUTOMOBILE ASSEMBLER,"138,735,242",ALLSHRKSE30
GAL,Ghandhara Automobiles Limited,AUTOMOBILE ASSEMBLER,"57,002,500",ALLSHRKMI30KMIALLSHRKSE30MZNPI
GHNI,Ghandhara Industries Limited,AUTOMOBILE ASSEMBLER,"42,608,844",ALLSHRKMI30KMIALLSHRKSE30
HCAR,Honda Atlas Cars (Pakistan) Limited,AUTOMOBILE ASSEMBLER,"142,800,000",ALLSHRKMI30KMIALLSHRKSE100KSE100PR
HINO,Hinopak Motors Limited,AUTOMOBILE ASSEMBLER,"24,801,120",ALLSHRKMIALLSHR
INDU,Indus Motor Company Limited,AUTOMOBILE ASSEMBLER,"78,600,000",ALLSHRKSE100KSE100PR
MTL,Millat Tractors Limited,AUTOMOBILE ASSEMBLER,"199,515,947",ACIALLSHRKMI30KMIALLSHRKSE100KSE100PRKSE30MII30PSXDIV20
SAZEW,Sazgar Engineering Works Limited,AUTOMOBILE ASSEMBLER,"60,445,961",ACIALLSHRKMI30KMIALLSHRKSE100KSE100PRKSE30MII30
