Symbol,Name,Sector,Shares,Listed In
ACPL,Attock Cement Pakistan Limited,CEMENT,"137,426,961",ALLSHR
BWCL,Bestway Cement Limited,CEMENT,"596,252,783",ALLSHRKMIALLSHRKSE100KSE100PR
CHCC,Cherat Cement Company Limited,CEMENT,"194,295,038",ALLSHRKMIALLSHRKSE100KSE100PRMII30
DCL,Dewan Cement Limited,CEMENT,"484,113,343",ALLSHRKMIALLSHR
DGKC,D.G. Khan Cement Company Limited,CEMENT,"438,119,097",ACIALLSHRKMI30KMIALLSHRKSE100KSE100PRKSE30MII30MZNPI
DNCC,Dandot Cement Company Limited,CEMENT,"316,355,132",ALLSHR
FCCL,Fauji Cement Company Limited,CEMENT,"2,452,847,220",ACIALLSHRKMI30KMIALLSHRKSE100KSE100PRKSE30MII30
FECTC,Fecto Cement Limited,CEMENT,"50,160,000",ALLSHRKMIALLSHR
FLYNG,Flying Cement Company Limited,CEMENT,"694,800,000",ALLSHRKMIALLSHR
GWLC,Gharibwal Cement Limited,CEMENT,"400,273,960",ALLSHRKMIALLSHR
KOHC,Kohat Cement Company Limited,CEMENT,"183,861,297",ALLSHRKSE100KSE100PR
LUCK,Lucky Cement Limited,CEMENT,"1,465,000,000",ACIALLSHRKMI30KMIALLSHRKSE100KSE100PRKSE30MII30MZNPINBPPGINITPGIUPP9
MLCF,Maple Leaf Cement Factory Limited,CEMENT,"1,047,562,608",ACIALLSHRKMI30KMIALLSHRKSE100KSE100PRKSE30MII30MZNPI
PIOC,Pioneer Cement Limited,CEMENT,"227,148,793",ALLSHRKMI30KMIALLSHRKSE100KSE100PRMII30
POWER,Power Cement Limited,CEMENT,"1,192,988,734",ALLSHRKMIALLSHR
POWERPS,Power Cement (Pref),CEMENT,"147,404,586",ALLSHR
SMCPL,Safe Mix Concrete Limited,CEMENT,"25,000,000",ALLSHRKMIALLSHR
THCCL,Thatta Cement Company Limited,CEMENT,"498,590,625",ALLSHR
