Symbol,Name,Sector,Shares,Listed In
AGLNCPS,Agritech Non-Voting (Pref) Class A,CHEMICAL,"20,608",ALLSHR
ARPL,Archroma Pakistan Limited,CHEMICAL,"34,563,341",ALLSHRKMIALLSHR
BAPL,Bawany Air Products Limited,CHEMICAL,"7,502,510",ALLSHR
BERG,Berger Paints Pakistan Limited,CHEMICAL,"24,551,652",ALLSHRKMIALLSHR
BIFO,Biafo Industries Limited,CHEMICAL,"46,382,688",ALLSHRKMIALLSHR
BUXL,Buxly Paints Limited,CHEMICAL,"1,440,000",ALLSHRKMIALLSHR
DAAG,Data Agro Limited,CHEMICAL,"4,000,000",ALLSHRKMIALLSHR
DOL,Descon Oxychem Limited,CHEMICAL,"175,031,084",ALLSHRKMIALLSHR
DYNO,Dynea Pakistan Limited,CHEMICAL,"18,872,400",ALLSHRKMIALLSHR
EPCL,Engro Polymer & Chemicals Limited,CHEMICAL,"908,923,333",ALLSHRKMIALLSHRKSE100KSE100PR
EPCLPS,Engro Poly(Pref),CHEMICAL,"300,000,000",ALLSHR
GCIL,Ghani Chemical Industries Limited,CHEMICAL,"570,451,931",ALLSHRKMIALLSHR
GCWL,Ghani Chemworld Limited,CHEMICAL,"250,143,950",ALLSHR
GGL,Ghani Global Holdings Limited,CHEMICAL,"354,119,590",ALLSHRKMIALLSHR
ICL,Ittehad Chemicals Limted,CHEMICAL,"99,999,999",ALLSHRKMIALLSHR
LCI,Lucky Core Industries Limited,CHEMICAL,"461,795,250",ALLSHRKMIALLSHRKSE100KSE100PRMII30
LOTCHEM,Lotte Chemical Pakistan Limited,CHEMICAL,"1,514,207,200",ALLSHRKMIALLSHRKSE100KSE100PR
LPGL,Leiner Pak Gelatine Limited,CHEMICAL,"7,500,000",ALLSHRKMIALLSHR
NICL,Nimir Industrial Chemicals Limited,CHEMICAL,"110,590,546",ALLSHR
NRSL,Nimir Resins Limited,CHEMICAL,"141,321,100",ALLSHRKMIALLSHR
PAKOXY,Pakistan Oxygen Limited,CHEMICAL,"87,124,228",ALLSHRKMIALLSHR
SARC,Sardar Chemical Industries Limited,CHEMICAL,"6,000,000",ALLSHRKMIALLSHR
SITC,Sitara Chemical Industries Limited,CHEMICAL,"21,429,524",ALLSHRKMIALLSHR
WAHN,Wah Noble Chemicals Limited,CHEMICAL,"9,000,000",ALLSHRKMIALLSHR
