Symbol,Name,Sector,Shares,Listed In
BBFL,Big Bird Foods Limited,FOOD & PERSONAL CARE PRODUCTS,"298,905,786",ALLSHRKMIALLSHR
BFAGRO,Barkat Frisian Agro Limited,FOOD & PERSONAL CARE PRODUCTS,"309,990,384",ALLSHRKMIALLSHR
BNL,Bunnys Limited,FOOD & PERSONAL CARE PRODUCTS,"66,805,269",ALLSHRKMIALLSHR
CLOV,Clover Pakistan Limited,FOOD & PERSONAL CARE PRODUCTS,"38,928,824",ALLSHRKMIALLSHR
COLG,Colgate-Palmolive (Pakistan) Limited,FOOD & PERSONAL CARE PRODUCTS,"242,773,288",ALLSHRKSE100KSE100PR
FCEPL,Frieslandcampina Engro Pakistan Limited,FOOD & PERSONAL CARE PRODUCTS,"766,596,075",ALLSHRKMIALLSHRKSE100KSE100PR
FFL,Fauji Foods Limited,FOOD & PERSONAL CARE PRODUCTS,"2,519,963,139",ACIALLSHRKMI30KMIALLSHR
GIL,Good Luck Industries Ltd.,FOOD & PERSONAL CARE PRODUCTS,"300,000",ALLSHRKMIALLSHR
GLPL,Gillette Pakistan Limited,FOOD & PERSONAL CARE PRODUCTS,"31,872,000",ALLSHRKMIALLSHR
ISIL,Ismail Industries Limited,FOOD & PERSONAL CARE PRODUCTS,"66,356,940",ALLSHR
MFFL,Mitchells Fruit Farms Limited,FOOD & PERSONAL CARE PRODUCTS,"22,875,000",ALLSHRKMIALLSHR
MFL,Matco Foods Limited,FOOD & PERSONAL CARE PRODUCTS,"122,400,698",ALLSHR
MUREB,Murree Brewery Company Limited,FOOD & PERSONAL CARE PRODUCTS,"27,663,631",ALLSHRKSE100KSE100PR
NATF,National Foods Limited,FOOD & PERSONAL CARE PRODUCTS,"233,115,250",ALLSHRJSMFIKMIALLSHRKSE100KSE100PR
NESTLE,Nestle Pakistan Limited,FOOD & PERSONAL CARE PRODUCTS,"45,349,584",ALLSHRKMIALLSHRKSE100KSE100PR
PREMA,At-Tahur Limited,FOOD & PERSONAL CARE PRODUCTS,"218,639,430",ALLSHRKMIALLSHR
QUICE,Quice Food Industries Limited,FOOD & PERSONAL CARE PRODUCTS,"98,461,828",ALLSHRKMIALLSHR
RMPL,Rafhan Maize Products Company Limited,FOOD & PERSONAL CARE PRODUCTS,"9,236,400",ALLSHRKMIALLSHRKSE100KSE100PR
SCL,Shield Corporation Limited,FOOD & PERSONAL CARE PRODUCTS,"3,900,000",ALLSHRKMIALLSHR
SHEZ,Shezan International Limited,FOOD & PERSONAL CARE PRODUCTS,"9,663,060",ALLSHRKMIALLSHR
TOMCL,The Organic Meat Company Limited,FOOD & PERSONAL CARE PRODUCTS,"178,491,213",ALLSHRKMI30KMIALLSHR
TREET,Treet Corporation Limited,FOOD & PERSONAL CARE PRODUCTS,"371,028,814",ALLSHRJSMFIKMIALLSHR
UNITY,Unity Foods Limited,FOOD & PERSONAL CARE PRODUCTS,"1,194,050,000",ACIALLSHRKMIALLSHRKSE100KSE100PR
UPFL,Unilever Pakistan Foods Limited,FOOD & PERSONAL CARE PRODUCTS,"6,369,932",ALLSHRKMIALLSHRKSE100KSE100PR
ZIL,ZIL Limited,FOOD & PERSONAL CARE PRODUCTS,"6,122,600",ALLSHRKMIALLSHR
