Symbol,Name,Sector,Shares,Listed In
AGIC,Askari General Insurance Company Limited,INSURANCE,"71,901,898",ALLSHR
AICL,Adamjee Insurance Company Limited,INSURANCE,"350,000,000",ALLSHRKSE100KSE100PRPSXDIV20
ALAC,Askari Life Assurance Company Limited,INSURANCE,"150,172,014",ALLSHR
ALIFE,Adamjee Life Assurance Company Limited,INSURANCE,"262,500,000",ALLSHR
ASIC,Asia Insurance Company Limited,INSURANCE,"73,008,243",ALLSHR
ATIL,Atlas Insurance Limited,INSURANCE,"149,415,691",ALLSHR
CENI,Century Insurance Company Limited,INSURANCE,"55,326,483",ALLSHR
CSIL,Crescent Star Insurance Limited,INSURANCE,"107,695,041",ALLSHR
EFUG,EFU General Insurance Limited,INSURANCE,"200,000,000",ALLSHRKSE100KSE100PR
EFUL,EFU Life Assurance Limited,INSURANCE,"105,000,000",ALLSHR
EWIC,East West Insurance Company Limited,INSURANCE,"255,877,996",ALLSHR
HICL,Habib Insurance Company Limited,INSURANCE,"123,874,755",ALLSHR
IGIHL,IGI Holdings Limited,INSURANCE,"142,630,550",ALLSHR
IGIL,IGI Life Insurance Limited,INSURANCE,"170,567,200",ALLSHR
JGICL,Jubilee General Insurance Limited,INSURANCE,"198,491,379",ALLSHR
JLICL,Jubilee Life Insurance Company Limited,INSURANCE,"100,353,310",ALLSHR
PAKRI,Pakistan Reinsurance Company Limited,INSURANCE,"900,000,000",ALLSHR
PINL,Premier Insurance Limited,INSURANCE,"50,565,105",ALLSHR
PKGI,The Pakistan General Insurance Co. Ltd.,INSURANCE,"50,000,000",ALLSHR
RICL,Reliance Insurance Company Limited,INSURANCE,"100,472,301",ALLSHR
SHNI,Shaheen Insurance Company Limited,INSURANCE,"80,625,000",ALLSHR
TPLI,TPL Insurance Limited,INSURANCE,"198,394,462",ALLSHR
TPLL,TPL Life Insurance Limited,INSURANCE,"224,500,000",ALLSHR
UNIC,The United Insurance Company,INSURANCE,"416,100,000",ALLSHR
UVIC,The Universal Insurance Company Limited,INSURANCE,"50,000,000",ALLSHR
