Symbol,Name,Sector,Shares,Listed In
786,786 Investments Limited,INV. BANKS / INV. COS. / SECURITIES COS.,"14,973,750",ALLSHR
AHL,Arif Habib Limited,INV. BANKS / INV. COS. / SECURITIES COS.,"65,340,000",ALLSHR
AKDSL,AKD Securities Limited,INV. BANKS / INV. COS. / SECURITIES COS.,"557,834,171",ALLSHR
AMBL,Apna Microfinance Bank Limited,INV. BANKS / INV. COS. / SECURITIES COS.,"428,984,962",ALLSHR
CASH,Calcorp Limited,INV. BANKS / INV. COS. / SECURITIES COS.,"10,744,413",ALLSHR
CYAN,Cyan Limited,INV. BANKS / INV. COS. / SECURITIES COS.,"61,558,963",ALLSHR
DEL,Dawood Equities Limited,INV. BANKS / INV. COS. / SECURITIES COS.,"27,500,000",ALLSHR
DHPL,DH Partners Limited,INV. BANKS / INV. COS. / SECURITIES COS.,"481,287,116",ALLSHR
DLL,Dawood Lawrencepur Limited,INV. BANKS / INV. COS. / SECURITIES COS.,"59,299,809",ALLSHRKMIALLSHR
ENGROH,Engro Holdings Limited,INV. BANKS / INV. COS. / SECURITIES COS.,"1,204,231,994",ALLSHRKMI30KMIALLSHRKSE100KSE100PRKSE30MII30MZNPINBPPGINITPGIPSXDIV20UPP9
ESBL,Escorts Investment Bank Limited,INV. BANKS / INV. COS. / SECURITIES COS.,"135,600,000",ALLSHR
FCIBL,First Credit and Investment Bank Limited,INV. BANKS / INV. COS. / SECURITIES COS.,"65,000,000",ALLSHR
FCSC,First Capital Securities Corporation,INV. BANKS / INV. COS. / SECURITIES COS.,"316,610,115",ALLSHR
FDPL,First Dawood Properties Limited,INV. BANKS / INV. COS. / SECURITIES COS.,"148,390,023",ALLSHR
FNEL,First National Equities Limited,INV. BANKS / INV. COS. / SECURITIES COS.,"267,286,331",ALLSHR
ICIBL,Invest Capital Investment Bank Limited,INV. BANKS / INV. COS. / SECURITIES COS.,"284,866,896",ALLSHR
IML,Imperial Limited,INV. BANKS / INV. COS. / SECURITIES COS.,"99,020,000",ALLSHR
IMS,Intermarket Securities Limited,INV. BANKS / INV. COS. / SECURITIES COS.,"1,287,510,240",ALLSHR
JSCL,Jahangir Siddiqui & Co. Ltd.,INV. BANKS / INV. COS. / SECURITIES COS.,"915,942,388",ALLSHR
JSCLPSA,Jahangir Sidd(Pref),INV. BANKS / INV. COS. / SECURITIES COS.,"183,188,477",ALLSHR
JSGCL,JS Global Capital Limited,INV. BANKS / INV. COS. / SECURITIES COS.,"27,477,297",ALLSHR
JSIL,JS Investments Limited,INV. BANKS / INV. COS. / SECURITIES COS.,"61,774,256",ALLSHR
LSECL,LSE Capital Limited.,INV. BANKS / INV. COS. / SECURITIES COS.,"181,153,345",ALLSHR
LSEFSL,LSE Financial Services Limited.,INV. BANKS / INV. COS. / SECURITIES COS.,"35,677,578",ALLSHR
LSEVL,LSE Ventures Limited,INV. BANKS / INV. COS. / SECURITIES COS.,"179,597,880",ALLSHR
MCBIM,MCB Investment Management Limited.,INV. BANKS / INV. COS. / SECURITIES COS.,"72,000,000",ALLSHR
NEXT,Next Capital Limited,INV. BANKS / INV. COS. / SECURITIES COS.,"56,925,000",ALLSHR
OLPL,OLP Financial Services Pakistan Limited,INV. BANKS / INV. COS. / SECURITIES COS.,"175,407,648",ALLSHR
PIAHCLA,PIA Holding Company Limited,INV. BANKS / INV. COS. / SECURITIES COS.,"5,233,762,118",ALLSHRJSMFI
PIAHCLB,PIA Holding Company LimitedB,INV. BANKS / INV. COS. / SECURITIES COS.,"1,500,000",ALLSHR
PSX,Pakistan Stock Exchange Limited,INV. BANKS / INV. COS. / SECURITIES COS.,"801,476,600",ALLSHRKSE100KSE100PR
SIBL,Security Investment Bank Limited,INV. BANKS / INV. COS. / SECURITIES COS.,"59,148,593",ALLSHR
TSBL,Trust Securities & Brokerage Limited,INV. BANKS / INV. COS. / SECURITIES COS.,"30,000,000",ALLSHR
