Symbol,Name,Sector,Shares,Listed In
AKDHL,AKD Hospitality Limited,MISCELLANEOUS,"2,507,273",ALLSHR
AKGL,Al-Khair Gadoon Limited,MISCELLANEOUS,"10,000,000",ALLSHRKMIALLSHR
ARPAK,Arpak International Investments Ltd.,MISCELLANEOUS,"4,000,000",ALLSHR
DIIL,Diamond Industries Limited,MISCELLANEOUS,"9,000,000",ALLSHR
ECOP,Ecopack Limited,MISCELLANEOUS,"48,258,419",ALLSHRKMIALLSHR
GOC,GOC (Pak) Limited.,MISCELLANEOUS,"7,348,950",ALLSHRKMIALLSHR
MWMP,Mandviwala Mauser Plastic Industries,MISCELLANEOUS,"28,748,133",ALLSHR
OML,Olympia Mills Limited,MISCELLANEOUS,"12,000,000",ALLSHRKMIALLSHR
PABC,Pakistan Aluminium Beverage Cans Limited,MISCELLANEOUS,"361,108,254",ALLSHRKSE100KSE100PR
PSEL,Pakistan Services Limited,MISCELLANEOUS,"32,524,250",ALLSHRKMIALLSHRKSE100KSE100PR
SHFA,Shifa International Hospitals Limited,MISCELLANEOUS,"63,214,383",ALLSHRKMIALLSHR
STPL,Siddiqsons Tin Plate Limited,MISCELLANEOUS,"229,278,733",ALLSHR
TRIPF,Tri-Pack Films Limited,MISCELLANEOUS,"38,800,000",ALLSHR
UBDL,United Brands Limited,MISCELLANEOUS,"91,800,000",ALLSHRKMIALLSHR
UDLI,UDL International Limited,MISCELLANEOUS,"35,120,548",ALLSHR
UDPL,United Distributors Pakistan Limited,MISCELLANEOUS,"35,271,134",ALLSHRKMIALLSHR
