Symbol,Name,Sector,Shares,Listed In
BFMOD,B.F. Modaraba,MODARABAS,"7,515,158",ALLSHRKMIALLSHR
FANM,First Al-Noor Modaraba,MODARABAS,"23,100,000",ALLSHRKMIALLSHR
FCONM,First Constellation Modaraba,MODARABAS,"6,462,500",ALLSHR
FECM,First Elite Capital Modaraba,MODARABAS,"11,340,000",ALLSHRKMIALLSHR
FEM,First Equity Modaraba,MODARABAS,"52,440,000",ALLSHRKMIALLSHR
FFLM,First Fidelity Leasing Modaraba,MODARABAS,"26,413,804",ALLSHRKMIALLSHR
FHAM,First Habib Modaraba,MODARABAS,"110,830,500",ALLSHRKMIALLSHRKSE100KSE100PR
FIBLM,First IBL Modaraba,MODARABAS,"21,687,500",ALLSHRKMIALLSHR
FIMM,First Imrooz Modaraba,MODARABAS,"3,000,000",ALLSHRKMIALLSHR
FPJM,First Punjab Modaraba,MODARABAS,"34,020,000",ALLSHRKMIALLSHR
FPRM,First Paramount Modaraba,MODARABAS,"13,788,418",ALLSHRKMIALLSHR
FTMM,First Treet Manufacturing Modaraba,MODARABAS,"195,599,994",ALLSHRKMIALLSHR
FTSM,First Tri-Star Modaraba,MODARABAS,"21,163,104",ALLSHRKMIALLSHR
OLPM,OLP Modaraba,MODARABAS,"45,383,530",ALLSHRKMIALLSHR
ORM,Orient Rental Mod,MODARABAS,"75,000,000",ALLSHRKMIALLSHR
PIM,Popular Islamic Modaraba,MODARABAS,"20,000,000",ALLSHRKMIALLSHR
SINDM,Sindh Modaraba,MODARABAS,"45,000,000",ALLSHRKMIALLSHR
TRSM,Trust Modaraba,MODARABAS,"29,800,000",ALLSHRKMIALLSHR
UCAPM,Unicap Modaraba,MODARABAS,"23,640,000",ALLSHRKMIALLSHR
WASL,Wasl Mobility Modaraba,MODARABAS,"129,391,676",ALLSHRKMIALLSHR
