Symbol,Name,Sector,Shares,Listed In
CEPB,Century Paper & Board Mills Limited,"PAPER, BOARD & PACKAGING","401,712,926",ALLSHRKMIALLSHR
CPPL,Cherat Packaging Limited,"PAPER, BOARD & PACKAGING","49,095,396",ALLSHRKMIALLSHR
IPAK,International Packaging Films Limited,"PAPER, BOARD & PACKAGING","700,200,000",ALLSHRKMIALLSHR
MACFL,MACPAC Films Limited,"PAPER, BOARD & PACKAGING","59,301,150",ALLSHRKMIALLSHR
MERIT,Merit Packaging Limited,"PAPER, BOARD & PACKAGING","199,958,427",ALLSHRKMIALLSHR
PKGS,Packages Limited,"PAPER, BOARD & PACKAGING","89,379,504",ALLSHRKMIALLSHRKSE100KSE100PR
PPP,Pakistan Paper Products Limited,"PAPER, BOARD & PACKAGING","8,000,000",ALLSHRKMIALLSHR
RPL,Roshan Packages Limited,"PAPER, BOARD & PACKAGING","141,900,000",ALLSHRKMIALLSHR
SEPL,Security Papers Limited,"PAPER, BOARD & PACKAGING","59,255,985",ALLSHR
SPEL,SPEL Limited,"PAPER, BOARD & PACKAGING","199,736,016",ALLSHRKMIALLSHR
