Symbol,Name,Sector,Shares,Listed In
ABOT,Abbott Laboratories (Pakistan) Limited,PHARMACEUTICALS,"97,900,302",ALLSHRKMIALLSHRKSE100KSE100PRMII30
AGP,AGP Limited,PHARMACEUTICALS,"280,000,000",ALLSHRKMIALLSHRKSE100KSE100PR
BFBIO,BF Biosciences Limited,PHARMACEUTICALS,"88,333,334",ALLSHRKMIALLSHR
CPHL,Citi Pharma Ltd.,PHARMACEUTICALS,"228,461,200",ALLSHRKMIALLSHR
FEROZ,Ferozsons Laboratories Limited,PHARMACEUTICALS,"43,469,051",ALLSHRKMIALLSHR
GLAXO,GlaxoSmithKline Pakistan Limited,PHARMACEUTICALS,"318,467,278",ACIALLSHRKMIALLSHRKSE100KSE100PRMII30
HALEON,Haleon Pakistan Limited,PHARMACEUTICALS,"117,054,508",ALLSHRKMIALLSHRKSE100KSE100PR
HINOON,Highnoon Laboratories Limited,PHARMACEUTICALS,"52,983,368",ALLSHRKMIALLSHRKSE100KSE100PRMII30
HPL,Hoechst Pakistan Limited,PHARMACEUTICALS,"9,644,760",ALLSHRKMIALLSHR
IBLHL,IBL HealthCare Limited,PHARMACEUTICALS,"85,674,767",ALLSHRKMIALLSHR
LIVEN,Liven Pharma Limited,PHARMACEUTICALS,"93,040,367",ALLSHRKMIALLSHR
MACTER,Macter International Limited,PHARMACEUTICALS,"45,811,018",ALLSHRKMIALLSHR
OTSU,Otsuka Pakistan Limited,PHARMACEUTICALS,"12,100,000",ALLSHR
SEARL,The Searle Company Limited,PHARMACEUTICALS,"511,494,426",ACIALLSHRKMI30KMIALLSHRKSE100KSE100PRKSE30MII30
