Symbol,Name,Sector,Shares,Listed In
ALTN,Altern Energy Limited,POWER GENERATION & DISTRIBUTION,"363,380,000",ALLSHR
EPQL,Engro Powergen Qadirpur Limited,POWER GENERATION & DISTRIBUTION,"323,800,000",ALLSHR
HUBC,The Hub Power Company Limited,POWER GENERATION & DISTRIBUTION,"1,297,154,400",ALLSHRKMI30KMIALLSHRKSE100KSE100PRKSE30MII30MZNPINBPPGINITPGIPSXDIV20UPP9
KAPCO,Kot Addu Power Company Limited,POWER GENERATION & DISTRIBUTION,"880,253,228",ALLSHRKSE100KSE100PRPSXDIV20
KEL,K-Electric Limited,POWER GENERATION & DISTRIBUTION,"27,615,194,245",ALLSHRKMIALLSHRKSE100KSE100PR
KOHE,Kohinoor Energy Limited,POWER GENERATION & DISTRIBUTION,"169,458,614",ALLSHRKMIALLSHR
KOHP,Kohinoor Power Company Limited,POWER GENERATION & DISTRIBUTION,"12,600,000",ALLSHR
LPL,Lalpir Power Limited,POWER GENERATION & DISTRIBUTION,"379,838,732",ALLSHR
NCPL,Nishat Chunian Power Limited,POWER GENERATION & DISTRIBUTION,"367,346,939",ALLSHR
NPL,Nishat Power Limited,POWER GENERATION & DISTRIBUTION,"354,088,500",ALLSHRKSE100KSE100PR
PKGP,Pakgen Power Limited,POWER GENERATION & DISTRIBUTION,"372,081,591",ALLSHRKSE100KSE100PR
SEL,Sitara Energy Limited,POWER GENERATION & DISTRIBUTION,"19,092,000",ALLSHRKMIALLSHR
SGPL,S.G. Power Limited,POWER GENERATION & DISTRIBUTION,"17,833,200",ALLSHRKMIALLSHR
SPWL,Saif Power Limited,POWER GENERATION & DISTRIBUTION,"386,471,779",ALLSHRKMIALLSHR
TSPL,Tri-Star Power Limited,POWER GENERATION & DISTRIBUTION,"15,000,000",ALLSHR
