Symbol,Name,Sector,Shares,Listed In
AABS,Al-Abbas Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,"17,362,300",ALLSHRKMIALLSHR
ADAMS,Adam Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,"17,291,008",ALLSHRKMIALLSHR
AGSML,Abdullah Shah Ghazi Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,"79,261,700",ALLSHRKMIALLSHR
ALNRS,Al-Noor Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,"20,473,702",ALLSHRKMIALLSHR
BAFS,Baba Farid Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,"9,450,000",ALLSHR
CHAS,Chashma Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,"28,692,000",ALLSHR
FRSM,Faran Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,"39,510,989",ALLSHRKMIALLSHR
HABSM,Habib Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,"135,000,000",ALLSHR
HRPL,Habib Rice Product Limited.,SUGAR & ALLIED INDUSTRIES,"40,000,000",ALLSHRKMIALLSHR
JDWS,JDW Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,"57,776,661",ALLSHRKMIALLSHRKSE100KSE100PR
JSML,Jauharabad Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,"34,128,454",ALLSHRKMIALLSHR
KPUS,Khairpur Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,"16,017,500",ALLSHRKMIALLSHR
MIRKS,Mirpurkhas Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,"66,557,888",ALLSHRKMIALLSHR
MRNS,Mehran Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,"74,927,989",ALLSHR
NONS,Noon Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,"16,517,456",ALLSHR
PMRS,The Premier Sugar Mills,SUGAR & ALLIED INDUSTRIES,"3,750,000",ALLSHR
SANSM,Sanghar Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,"11,946,000",ALLSHRKMIALLSHR
SASML,Sindh Abadgars Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,"10,425,000",ALLSHRKMIALLSHR
SHJS,Shahtaj Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,"12,011,200",ALLSHR
SHSML,Shahmurad Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,"21,118,663",ALLSHRKMIALLSHR
TCORP,Tariq Corporation Limited,SUGAR & ALLIED INDUSTRIES,"66,206,250",ALLSHRKMIALLSHR
TCORPCPS,Tariq Corporation Limited(Pref),SUGAR & ALLIED INDUSTRIES,"14,445,000",ALLSHR
TICL,The Thal Industries Corporation Limited,SUGAR & ALLIED INDUSTRIES,"15,023,200",ALLSHRKMIALLSHR
TSML,Tandlianwala Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,"117,706,300",ALLSHR
