Symbol,Name,Sector,Shares,Listed In
AIRLINK,Air Link Communication Limited,TECHNOLOGY & COMMUNICATION,"395,269,231",ALLSHRKSE100KSE100PRKSE30
AVN,Avanceon Limited,TECHNOLOGY & COMMUNICATION,"417,571,424",ALLSHRKMI30KMIALLSHRKSE100KSE100PR
HUMNL,Hum Network Limited,TECHNOLOGY & COMMUNICATION,"1,134,000,000",ALLSHRKSE100KSE100PR
MDTL,Media Times Limited,TECHNOLOGY & COMMUNICATION,"178,851,010",ALLSHR
NETSOL,NetSol Technologies Limited,TECHNOLOGY & COMMUNICATION,"89,836,923",ALLSHRKMI30KMIALLSHRKSE30
OCTOPUS,Octopus Digital Limited,TECHNOLOGY & COMMUNICATION,"157,262,502",ALLSHRKMI30KMIALLSHR
PAKD,Pak Datacom Limited,TECHNOLOGY & COMMUNICATION,"11,859,210",ALLSHRKMIALLSHR
PTC,Pakistan Telecommunication Company Ltd,TECHNOLOGY & COMMUNICATION,"3,774,000,000",ALLSHRKSE100KSE100PR
STL,Supernet Technologies Limited,TECHNOLOGY & COMMUNICATION,"500,000",ALLSHRKMIALLSHR
SYM,Symmetry Group Limited,TECHNOLOGY & COMMUNICATION,"285,245,524",ALLSHRKMIALLSHR
SYS,Systems Limited,TECHNOLOGY & COMMUNICATION,"1,467,415,750",ALLSHRKMI30KMIALLSHRKSE100KSE100PRKSE30MII30NBPPGIUPP9
TELE,Telecard Limited,TECHNOLOGY & COMMUNICATION,"338,625,000",ALLSHRKMIALLSHR
TPL,TPL Corp Limited,TECHNOLOGY & COMMUNICATION,"267,297,763",ALLSHR
TPLT,TPL Trakker Limited,TECHNOLOGY & COMMUNICATION,"187,263,093",ALLSHRKMIALLSHR
TRG,TRG Pakistan Limited,TECHNOLOGY & COMMUNICATION,"545,390,665",ALLSHRKSE100KSE100PR
WTL,Worldcall Telecom Limited,TECHNOLOGY & COMMUNICATION,"4,982,289,186",ALLSHR
ZAL,Zarea Limited,TECHNOLOGY & COMMUNICATION,"262,500,000",ALLSHR
